Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2017-07-12,Slack Bay,2016,https://boxd.it/itG1P,2.5,,That certainly just might have been a movie.,,2017-07-11
2017-09-28,Wall Street,1987,https://boxd.it/kqkK1,3,,"I have only one question, why does Darien microwave their ice cream?",,2017-09-27
2017-11-01,The Haunting in Connecticut,2009,https://boxd.it/lhzF7,1,,Only one flannel shirt and it wasn’t even black.,,2017-10-31
2018-01-08,Pitch Perfect 3,2017,https://boxd.it/noLqF,1.5,,This was unnecessary.,,2018-01-07
2018-01-27,Where the Heart Is,2000,https://boxd.it/o6VSH,1.5,,I am still not convinced this is an actual movie that exists.,,2018-01-26
2018-02-26,Call Me by Your Name,2017,https://boxd.it/pd4R5,0.5,,No. Just no.,,
2018-04-08,Ready Player One,2018,https://boxd.it/qMikN,2,,I’m giving it one more than I believe it deserves solely based on Rona Morison’s thinking face.,,2018-04-07
2018-07-14,Gold Diggers of Broadway,1929,https://boxd.it/u5QTH,,,Just the two surviving excerpts.,,2018-07-13
2018-09-03,Jenny's Wedding,2015,https://boxd.it/w66JB,0.5,,"Despite this movie, my grass, the grass that is inside of me, will always be green.",,2018-09-02
2019-07-11,Nine to Five,1980,https://boxd.it/L0men,4,Yes,Dolly Parton’s is one of my favorite origin stories.,,2019-07-10
2019-07-19,The Mighty Kong,1998,https://boxd.it/Lq0zP,1.5,,When will Jodi Benson learn to read contracts before signing them?,,2019-07-18
2019-08-08,The Lion King,2019,https://boxd.it/Mt9r1,1.5,,The entire film I was wishing I had just gone home and watch the 1994 version.,,2019-08-07
2020-03-08,Pip's Predicament: A Pop-Up Adventure,2008,https://boxd.it/11eDp5,,,Magic nut dust,,2020-03-07
2020-03-16,Onward,2020,https://boxd.it/11QKjT,3,,Barley should have been voiced by Jack Black.,,2020-03-13
2020-09-22,3 Ninjas,1992,https://boxd.it/1mLQK1,2.5,Yes,A childhood favorite that does not hold up.,,2020-09-19
2020-12-07,A New York Christmas Wedding,2020,https://boxd.it/1uZOfl,2,,"Can’t decide if the twist of a character being the child of another character while having a last name literally stating that exact thing worked better in this movie or I Still Know What You Did Last Summer. I would probably have to say neither, but both times did make me laugh so there’s that.",,2020-12-06
